dataResult,HomeWin,Draw,AwayWin
HomeWin,0.71,0.17,0.12
AwayWin,0.42,0.28,0.3
HomeWin,0.88,0.09,0.04
AwayWin,0.1,0.15,0.75
Draw,0.57,0.22,0.21
HomeWin,0.85,0.1,0.04
HomeWin,0.42,0.29,0.29
AwayWin,0.59,0.23,0.18
HomeWin,0.42,0.28,0.29
AwayWin,0.05,0.11,0.84
AwayWin,0.24,0.25,0.52
Draw,0.41,0.29,0.3
HomeWin,0.84,0.11,0.05
HomeWin,0.87,0.08,0.04
HomeWin,0.76,0.15,0.09
HomeWin,0.59,0.24,0.17
AwayWin,0.16,0.24,0.6
HomeWin,0.5,0.27,0.23
AwayWin,0.19,0.23,0.58
HomeWin,0.53,0.25,0.22
AwayWin,0.25,0.28,0.47
AwayWin,0.29,0.28,0.44
HomeWin,0.79,0.13,0.08
AwayWin,0.1,0.19,0.71
HomeWin,0.68,0.2,0.12
AwayWin,0.29,0.26,0.45
HomeWin,0.85,0.1,0.04
HomeWin,0.46,0.27,0.27
Draw,0.61,0.23,0.16
HomeWin,0.39,0.28,0.33
Draw,0.41,0.28,0.31
Draw,0.38,0.32,0.3
AwayWin,0.63,0.22,0.15
HomeWin,0.58,0.25,0.16
HomeWin,0.78,0.14,0.08
HomeWin,0.12,0.19,0.69
AwayWin,0.17,0.23,0.61
HomeWin,0.54,0.24,0.23
AwayWin,0.22,0.26,0.52
Draw,0.08,0.15,0.76
Draw,0.68,0.2,0.11
AwayWin,0.53,0.28,0.19
Draw,0.62,0.23,0.16
Draw,0.48,0.28,0.24
AwayWin,0.29,0.27,0.44
AwayWin,0.35,0.3,0.35
Draw,0.5,0.28,0.22
AwayWin,0.17,0.22,0.62
HomeWin,0.67,0.19,0.14
HomeWin,0.45,0.28,0.27
HomeWin,0.67,0.2,0.13
AwayWin,0.65,0.22,0.14
AwayWin,0.18,0.27,0.55
HomeWin,0.52,0.26,0.22
HomeWin,0.51,0.27,0.22
HomeWin,0.42,0.28,0.3
Draw,0.26,0.27,0.47
AwayWin,0.15,0.2,0.65
HomeWin,0.34,0.31,0.35
AwayWin,0.21,0.26,0.53
AwayWin,0.21,0.24,0.55
Draw,0.48,0.28,0.24
HomeWin,0.64,0.23,0.13
HomeWin,0.49,0.28,0.23
Draw,0.36,0.28,0.36
HomeWin,0.36,0.3,0.34
HomeWin,0.78,0.14,0.08
HomeWin,0.21,0.23,0.56
HomeWin,0.55,0.25,0.2
AwayWin,0.11,0.19,0.7
AwayWin,0.15,0.22,0.63
HomeWin,0.82,0.12,0.06
Draw,0.38,0.31,0.3
AwayWin,0.28,0.29,0.43
AwayWin,0.32,0.3,0.38
HomeWin,0.44,0.29,0.27
HomeWin,0.79,0.14,0.07
HomeWin,0.44,0.29,0.27
Draw,0.68,0.2,0.12
HomeWin,0.68,0.18,0.13
HomeWin,0.47,0.3,0.24
HomeWin,0.52,0.27,0.21
AwayWin,0.18,0.25,0.57
Draw,0.61,0.24,0.15
HomeWin,0.39,0.31,0.3
HomeWin,0.64,0.22,0.14
HomeWin,0.39,0.31,0.3
Draw,0.34,0.26,0.4
Draw,0.51,0.28,0.21
Draw,0.58,0.24,0.18
AwayWin,0.19,0.26,0.55
AwayWin,0.72,0.18,0.09
HomeWin,0.41,0.29,0.3
HomeWin,0.51,0.27,0.22
Draw,0.7,0.2,0.1
HomeWin,0.5,0.27,0.23
HomeWin,0.56,0.26,0.18
Draw,0.5,0.25,0.25
HomeWin,0.57,0.25,0.18
AwayWin,0.17,0.25,0.58
HomeWin,0.45,0.28,0.27
HomeWin,0.51,0.28,0.21
HomeWin,0.62,0.24,0.15
AwayWin,0.17,0.26,0.57
Draw,0.37,0.31,0.32
AwayWin,0.41,0.29,0.31
HomeWin,0.17,0.24,0.59
HomeWin,0.76,0.16,0.08
HomeWin,0.38,0.28,0.34
HomeWin,0.59,0.25,0.16
HomeWin,0.39,0.29,0.32
Draw,0.79,0.14,0.07
AwayWin,0.16,0.23,0.61
AwayWin,0.09,0.15,0.76
HomeWin,0.61,0.23,0.17
HomeWin,0.49,0.26,0.25
HomeWin,0.53,0.27,0.2
HomeWin,0.49,0.3,0.22
HomeWin,0.49,0.29,0.22
AwayWin,0.25,0.28,0.47
AwayWin,0.43,0.3,0.27
Draw,0.78,0.15,0.07
HomeWin,0.17,0.24,0.58
HomeWin,0.7,0.19,0.11
Draw,0.35,0.3,0.35
HomeWin,0.76,0.16,0.08
HomeWin,0.46,0.3,0.23
HomeWin,0.68,0.2,0.12
Draw,0.45,0.3,0.25
HomeWin,0.45,0.29,0.26
AwayWin,0.13,0.19,0.68
HomeWin,0.39,0.29,0.32
