dataResult,HomeWin,Draw,AwayWin
Draw,0.12,0.22,0.66
HomeWin,0.44,0.28,0.28
HomeWin,0.77,0.15,0.08
Draw,0.26,0.29,0.45
HomeWin,0.44,0.3,0.26
AwayWin,0.25,0.27,0.47
Draw,0.42,0.3,0.28
HomeWin,0.75,0.17,0.09
AwayWin,0.19,0.26,0.56
HomeWin,0.8,0.13,0.07
HomeWin,0.75,0.16,0.08
AwayWin,0.57,0.25,0.18
HomeWin,0.57,0.25,0.19
HomeWin,0.14,0.22,0.64
AwayWin,0.54,0.26,0.2
HomeWin,0.46,0.3,0.24
HomeWin,0.4,0.3,0.29
HomeWin,0.47,0.29,0.24
Draw,0.81,0.13,0.06
Draw,0.31,0.29,0.4
AwayWin,0.17,0.21,0.61
Draw,0.38,0.3,0.32
AwayWin,0.79,0.14,0.07
AwayWin,0.45,0.29,0.26
HomeWin,0.33,0.3,0.37
Draw,0.36,0.32,0.32
Draw,0.11,0.17,0.71
HomeWin,0.3,0.29,0.41
HomeWin,0.82,0.12,0.06
HomeWin,0.81,0.13,0.06
HomeWin,0.53,0.27,0.19
Draw,0.46,0.27,0.27
Draw,0.51,0.27,0.22
AwayWin,0.32,0.29,0.39
AwayWin,0.38,0.31,0.31
Draw,0.16,0.23,0.6
HomeWin,0.58,0.25,0.17
AwayWin,0.78,0.15,0.08
Draw,0.49,0.28,0.23
HomeWin,0.21,0.25,0.54
AwayWin,0.2,0.27,0.53
HomeWin,0.22,0.29,0.49
HomeWin,0.32,0.28,0.4
AwayWin,0.29,0.28,0.43
AwayWin,0.15,0.2,0.65
Draw,0.41,0.31,0.28
HomeWin,0.4,0.29,0.3
HomeWin,0.72,0.19,0.09
HomeWin,0.36,0.31,0.33
AwayWin,0.52,0.26,0.21
HomeWin,0.53,0.27,0.2
Draw,0.19,0.23,0.58
AwayWin,0.15,0.22,0.62
HomeWin,0.4,0.3,0.3
HomeWin,0.81,0.13,0.06
Draw,0.1,0.16,0.74
HomeWin,0.49,0.3,0.21
Draw,0.36,0.32,0.33
HomeWin,0.71,0.18,0.11
AwayWin,0.15,0.23,0.62
HomeWin,0.39,0.28,0.33
HomeWin,0.42,0.29,0.29
HomeWin,0.78,0.15,0.07
HomeWin,0.46,0.28,0.26
HomeWin,0.77,0.16,0.07
AwayWin,0.57,0.26,0.17
AwayWin,0.37,0.29,0.34
Draw,0.24,0.29,0.47
AwayWin,0.32,0.3,0.37
HomeWin,0.73,0.17,0.1
AwayWin,0.11,0.19,0.7
HomeWin,0.72,0.18,0.1
HomeWin,0.33,0.32,0.36
HomeWin,0.7,0.19,0.1
AwayWin,0.37,0.29,0.34
HomeWin,0.81,0.13,0.06
AwayWin,0.4,0.28,0.32
Draw,0.4,0.3,0.3
AwayWin,0.25,0.28,0.47
HomeWin,0.43,0.28,0.29
HomeWin,0.79,0.14,0.07
AwayWin,0.33,0.3,0.37
AwayWin,0.17,0.26,0.58
HomeWin,0.46,0.29,0.25
Draw,0.35,0.3,0.35
HomeWin,0.37,0.3,0.33
HomeWin,0.56,0.25,0.18
AwayWin,0.15,0.22,0.63
AwayWin,0.18,0.25,0.57
HomeWin,0.76,0.15,0.09
Draw,0.3,0.3,0.4
HomeWin,0.79,0.14,0.07
HomeWin,0.47,0.29,0.24
AwayWin,0.18,0.25,0.57
AwayWin,0.13,0.21,0.66
HomeWin,0.58,0.25,0.18
HomeWin,0.43,0.28,0.29
HomeWin,0.24,0.26,0.51
Draw,0.75,0.15,0.1
HomeWin,0.45,0.29,0.26
HomeWin,0.6,0.26,0.14
HomeWin,0.76,0.16,0.08
HomeWin,0.2,0.24,0.56
HomeWin,0.74,0.17,0.09
HomeWin,0.29,0.3,0.41
Draw,0.29,0.3,0.41
HomeWin,0.46,0.28,0.27
HomeWin,0.3,0.29,0.41
HomeWin,0.51,0.29,0.2
Draw,0.23,0.27,0.5
HomeWin,0.2,0.24,0.56
AwayWin,0.17,0.23,0.6
HomeWin,0.26,0.29,0.45
HomeWin,0.6,0.24,0.15
HomeWin,0.28,0.28,0.43
HomeWin,0.72,0.18,0.11
HomeWin,0.46,0.29,0.25
AwayWin,0.45,0.28,0.27
Draw,0.71,0.18,0.11
HomeWin,0.45,0.28,0.26
HomeWin,0.71,0.18,0.1
AwayWin,0.43,0.29,0.28
HomeWin,0.57,0.25,0.18
Draw,0.34,0.31,0.35
Draw,0.51,0.28,0.21
HomeWin,0.83,0.11,0.06
HomeWin,0.36,0.3,0.34
AwayWin,0.08,0.14,0.78
HomeWin,0.51,0.29,0.2
AwayWin,0.14,0.22,0.65
HomeWin,0.62,0.22,0.15
AwayWin,0.14,0.2,0.66
Draw,0.62,0.22,0.16
Draw,0.31,0.28,0.41
AwayWin,0.45,0.28,0.27
HomeWin,0.43,0.29,0.27
HomeWin,0.33,0.29,0.38
Draw,0.39,0.3,0.31
AwayWin,0.56,0.26,0.17
AwayWin,0.18,0.25,0.57
HomeWin,0.17,0.26,0.57
HomeWin,0.76,0.16,0.08
Draw,0.5,0.27,0.23
HomeWin,0.65,0.21,0.14
AwayWin,0.6,0.23,0.17
HomeWin,0.28,0.3,0.42
Draw,0.8,0.13,0.06
Draw,0.48,0.27,0.24
HomeWin,0.48,0.27,0.25
AwayWin,0.31,0.29,0.4
HomeWin,0.52,0.26,0.22
AwayWin,0.2,0.24,0.56
Draw,0.78,0.15,0.07
HomeWin,0.38,0.31,0.3
Draw,0.6,0.23,0.17
HomeWin,0.56,0.26,0.18
AwayWin,0.13,0.21,0.66
AwayWin,0.12,0.2,0.68
HomeWin,0.44,0.3,0.26
Draw,0.66,0.21,0.12
HomeWin,0.75,0.17,0.08
Draw,0.76,0.16,0.08
HomeWin,0.17,0.26,0.57
AwayWin,0.32,0.29,0.38
HomeWin,0.49,0.28,0.23
Draw,0.4,0.29,0.31
HomeWin,0.58,0.24,0.18
Draw,0.23,0.27,0.51
Draw,0.43,0.29,0.28
HomeWin,0.71,0.19,0.09
AwayWin,0.42,0.3,0.28
AwayWin,0.44,0.28,0.28
HomeWin,0.78,0.14,0.07
HomeWin,0.54,0.26,0.2
Draw,0.65,0.21,0.15
HomeWin,0.51,0.27,0.22
Draw,0.18,0.25,0.57
HomeWin,0.62,0.22,0.15
AwayWin,0.1,0.18,0.71
Draw,0.39,0.29,0.32
HomeWin,0.32,0.28,0.4
Draw,0.74,0.17,0.09
AwayWin,0.13,0.2,0.67
Draw,0.39,0.31,0.31
Draw,0.39,0.3,0.31
Draw,0.47,0.28,0.24
AwayWin,0.13,0.19,0.68
Draw,0.56,0.25,0.19
HomeWin,0.29,0.31,0.4
AwayWin,0.32,0.29,0.39
HomeWin,0.4,0.28,0.32
HomeWin,0.29,0.28,0.43
HomeWin,0.78,0.15,0.08
AwayWin,0.25,0.28,0.47
Draw,0.42,0.29,0.29
AwayWin,0.37,0.3,0.33
AwayWin,0.11,0.17,0.72
HomeWin,0.57,0.25,0.18
HomeWin,0.73,0.18,0.1
HomeWin,0.46,0.28,0.25
HomeWin,0.58,0.25,0.17
HomeWin,0.15,0.23,0.62
HomeWin,0.59,0.25,0.16
AwayWin,0.16,0.24,0.6
HomeWin,0.66,0.22,0.13
HomeWin,0.78,0.15,0.08
HomeWin,0.34,0.3,0.36
AwayWin,0.44,0.27,0.28
AwayWin,0.26,0.28,0.45
Draw,0.15,0.23,0.61
HomeWin,0.58,0.24,0.18
HomeWin,0.6,0.24,0.16
HomeWin,0.46,0.3,0.24
Draw,0.38,0.31,0.31
AwayWin,0.4,0.31,0.29
AwayWin,0.23,0.27,0.5
AwayWin,0.52,0.27,0.22
AwayWin,0.4,0.31,0.28
HomeWin,0.77,0.15,0.08
Draw,0.37,0.32,0.31
AwayWin,0.11,0.21,0.68
HomeWin,0.78,0.15,0.07
Draw,0.43,0.3,0.27
HomeWin,0.58,0.24,0.18
HomeWin,0.58,0.24,0.18
Draw,0.66,0.21,0.13
AwayWin,0.17,0.24,0.59
Draw,0.38,0.29,0.34
HomeWin,0.4,0.29,0.3
AwayWin,0.36,0.31,0.33
Draw,0.35,0.28,0.38
HomeWin,0.14,0.22,0.64
AwayWin,0.52,0.28,0.2
HomeWin,0.67,0.21,0.12
AwayWin,0.16,0.25,0.59
AwayWin,0.32,0.31,0.37
AwayWin,0.15,0.23,0.62
HomeWin,0.64,0.23,0.13
HomeWin,0.64,0.22,0.14
AwayWin,0.35,0.29,0.36
AwayWin,0.18,0.27,0.55
HomeWin,0.78,0.15,0.07
AwayWin,0.35,0.31,0.34
AwayWin,0.45,0.31,0.25
Draw,0.27,0.29,0.44
Draw,0.43,0.3,0.27
Draw,0.54,0.26,0.2
HomeWin,0.21,0.28,0.51
